RunNumber;RunTime;WalkingSpeed;OrgLuggageCount;StartingDoorID;StepsTaken
0;14357;1;0;0;16
0;14357;1;0;0;15
0;14357;1;2;1;19
0;14357;1;3;0;10
0;14357;1;3;1;15
0;14357;1;1;1;20
0;14357;1;0;0;19
0;14357;1;2;1;20
0;14357;1;1;0;20
0;14357;1;0;0;20
0;14357;1;2;1;22
0;14357;1;2;1;24
0;14357;1;2;1;24
0;14357;1;3;0;20
0;14357;1;0;0;26
0;14357;1;2;1;24
0;14357;1;0;1;28
0;14357;1;2;1;22
0;14357;1;0;0;29
0;14357;1;0;1;31
0;14357;1;2;1;32
0;14357;1;1;1;32
0;14357;1;1;1;33
0;14357;1;0;0;35
0;14357;1;0;0;37
0;14357;1;1;0;34
0;14357;1;2;1;38
0;14357;1;0;0;38
0;14357;1;3;1;40
0;14357;1;2;0;40
0;14357;1;2;0;41
0;14357;1;2;1;41
0;14357;1;0;0;46
0;14357;1;0;1;42
0;14357;1;3;0;43
0;14357;1;3;1;44
0;14357;1;1;1;46
0;14357;1;3;1;47
0;14357;1;1;1;49
0;14357;1;3;0;51
0;14357;1;3;0;53
0;14357;1;0;1;52
0;14357;1;3;1;55
0;14357;1;0;1;57
0;14357;1;0;0;55
0;14357;1;2;0;59
0;14357;1;0;1;55
0;14357;1;3;1;57
0;14357;1;1;1;61
0;14357;1;0;0;59
0;14357;1;3;1;60
0;14357;1;3;1;56
0;14357;1;2;0;64
0;14357;1;3;0;65
0;14357;1;2;0;66
0;14357;1;1;0;69
0;14357;1;0;0;67
0;14357;1;0;1;71
0;14357;1;2;0;70
0;14357;1;0;0;72
0;14357;1;2;0;69
0;14357;1;2;0;75
0;14357;1;1;1;69
0;14357;1;1;1;75
0;14357;1;1;1;77
0;14357;1;3;1;75
0;14357;1;2;0;77
0;14357;1;0;1;83
0;14357;1;2;0;74
0;14357;1;0;1;79
0;14357;1;1;1;81
0;14357;1;0;1;74
0;14357;1;3;0;83
0;14357;1;1;0;83
0;14357;1;2;0;86
0;14357;1;2;0;86
0;14357;1;3;0;88
0;14357;1;2;1;91
0;14357;1;1;1;92
0;14357;1;1;1;86
0;14357;1;1;1;90
0;14357;1;0;1;97
0;14357;1;1;0;92
0;14357;1;3;0;94
0;14357;1;3;0;88
0;14357;1;0;1;101
0;14357;1;2;0;97
0;14357;1;2;0;92
0;14357;1;3;1;102
0;14357;1;0;1;99
0;14357;1;1;1;101
0;14357;1;1;0;103
0;14357;1;1;0;97
0;14357;1;2;0;101
0;14357;1;2;0;102
0;14357;1;2;0;108
0;14357;1;3;0;108
0;14357;1;2;0;102
0;14357;1;2;1;111
0;14357;1;1;1;111
0;14357;1;0;0;107
0;14357;1;1;0;113
0;14357;1;3;0;109
0;14357;1;1;0;115
0;14357;1;1;1;110
0;14357;1;0;0;112
0;14357;1;3;0;118
0;14357;1;3;0;120
0;14357;1;1;0;117
0;14357;1;2;0;120
0;14357;1;1;1;119
0;14357;1;3;0;121
0;14357;1;0;1;128
0;14357;1;1;0;122
0;14357;1;1;1;130
0;14357;1;0;0;122
0;14357;1;0;0;127
0;14357;1;0;1;120
0;14357;1;3;0;129
0;14357;1;2;1;128
0;14357;1;1;1;137
0;14357;1;2;0;132
0;14357;1;3;1;138
0;14357;1;1;0;134
0;14357;1;1;0;136
0;14357;1;3;1;140
0;14357;1;0;1;139
0;14357;1;0;1;141
0;14357;1;2;1;141
0;14357;1;0;1;150
0;14357;1;0;1;149
0;14357;1;1;0;145
0;14357;1;0;1;154
0;14357;1;0;1;141
0;14357;1;2;0;145
0;14357;1;3;1;142
0;14357;1;1;0;149
0;14357;1;0;1;154
0;14357;1;1;1;156
0;14357;1;1;0;157
0;14357;1;2;1;161
0;14357;1;0;1;144
0;14357;1;1;1;155
0;14357;1;1;1;162
0;14357;1;1;1;166
1;20546;1;2;0;16
1;20546;1;0;1;18
1;20546;1;2;0;18
1;20546;1;1;0;18
1;20546;1;3;1;18
1;20546;1;2;0;18
1;20546;1;2;1;20
1;20546;1;1;0;20
1;20546;1;2;0;20
1;20546;1;3;1;23
1;20546;1;3;1;25
1;20546;1;2;0;22
1;20546;1;1;0;21
1;20546;1;0;1;27
1;20546;1;2;1;26
1;20546;1;2;1;28
1;20546;1;0;1;27
1;20546;1;0;1;31
1;20546;1;0;1;29
1;20546;1;0;0;31
1;20546;1;0;1;28
1;20546;1;2;0;29
1;20546;1;0;0;29
1;20546;1;0;1;34
1;20546;1;2;0;29
1;20546;1;3;1;31
1;20546;1;3;1;33
1;20546;1;1;0;39
1;20546;1;1;0;42
1;20546;1;2;0;40
1;20546;1;1;1;41
1;20546;1;0;1;43
1;20546;1;2;0;44
1;20546;1;2;0;45
1;20546;1;3;0;39
1;20546;1;2;0;46
1;20546;1;2;1;47
1;20546;1;1;0;44
1;20546;1;2;0;50
1;20546;1;2;0;49
1;20546;1;3;1;52
1;20546;1;0;1;54
1;20546;1;3;1;45
1;20546;1;2;1;56
1;20546;1;0;0;50
1;20546;1;0;0;53
1;20546;1;0;1;58
1;20546;1;2;0;54
1;20546;1;3;1;61
1;20546;1;3;1;62
1;20546;1;1;1;61
1;20546;1;3;1;58
1;20546;1;2;1;64
1;20546;1;3;0;64
1;20546;1;0;0;58
1;20546;1;0;1;66
1;20546;1;3;0;66
1;20546;1;3;0;64
1;20546;1;1;0;70
1;20546;1;2;1;67
1;20546;1;0;1;65
1;20546;1;2;0;69
1;20546;1;0;0;72
1;20546;1;3;1;72
1;20546;1;0;0;76
1;20546;1;2;1;74
1;20546;1;1;0;77
1;20546;1;3;1;76
1;20546;1;0;1;81
1;20546;1;2;1;81
1;20546;1;0;1;84
1;20546;1;2;1;78
1;20546;1;3;1;86
1;20546;1;3;1;90
1;20546;1;0;0;80
1;20546;1;2;0;79
1;20546;1;1;0;89
1;20546;1;1;1;92
1;20546;1;0;0;89
1;20546;1;1;1;96
1;20546;1;2;1;87
1;20546;1;0;0;91
1;20546;1;1;1;96
1;20546;1;0;1;91
1;20546;1;2;1;100
1;20546;1;1;1;99
1;20546;1;2;1;103
1;20546;1;2;1;103
1;20546;1;1;0;92
1;20546;1;0;0;97
1;20546;1;0;0;93
1;20546;1;1;0;102
1;20546;1;2;0;103
1;20546;1;1;0;102
1;20546;1;1;0;104
1;20546;1;0;0;105
1;20546;1;3;0;105
1;20546;1;0;1;107
1;20546;1;1;0;107
1;20546;1;1;1;113
1;20546;1;0;0;108
1;20546;1;1;1;108
1;20546;1;0;1;116
1;20546;1;0;1;111
1;20546;1;0;1;118
1;20546;1;3;0;113
1;20546;1;3;0;112
1;20546;1;1;1;117
1;20546;1;1;0;113
1;20546;1;3;1;125
1;20546;1;1;0;117
1;20546;1;1;0;119
1;20546;1;0;1;129
1;20546;1;3;0;123
1;20546;1;0;1;130
1;20546;1;2;1;120
1;20546;1;2;1;127
1;20546;1;0;1;133
1;20546;1;0;1;128
1;20546;1;3;0;127
1;20546;1;1;1;134
1;20546;1;3;1;137
1;20546;1;1;0;131
1;20546;1;2;0;132
1;20546;1;2;1;142
1;20546;1;3;1;141
1;20546;1;1;0;132
1;20546;1;2;0;141
1;20546;1;2;1;146
1;20546;1;1;1;136
1;20546;1;2;1;140
1;20546;1;0;1;148
1;20546;1;1;1;145
1;20546;1;1;0;150
1;20546;1;1;0;140
1;20546;1;3;1;139
1;20546;1;0;1;144
1;20546;1;3;1;149
1;20546;1;3;0;156
1;20546;1;2;0;150
1;20546;1;2;1;156
1;20546;1;2;1;153
1;20546;1;1;1;154
1;20546;1;2;1;156
1;20546;1;1;1;151
2;23854;1;1;0;17
2;23854;1;3;0;7
2;23854;1;3;0;10
2;23854;1;1;0;12
2;23854;1;3;0;17
2;23854;1;2;1;24
2;23854;1;2;0;17
2;23854;1;0;1;21
2;23854;1;1;0;14
2;23854;1;0;0;19
2;23854;1;1;0;19
2;23854;1;1;1;17
2;23854;1;3;1;21
2;23854;1;1;1;33
2;23854;1;3;1;34
2;23854;1;0;1;32
2;23854;1;2;1;32
2;23854;1;3;0;27
2;23854;1;1;0;21
2;23854;1;3;1;35
2;23854;1;2;1;35
2;23854;1;1;1;29
2;23854;1;0;1;36
2;23854;1;2;1;37
2;23854;1;2;0;29
2;23854;1;0;1;37
2;23854;1;3;0;36
2;23854;1;3;0;36
2;23854;1;3;1;42
2;23854;1;1;1;42
2;23854;1;3;1;45
2;23854;1;3;0;40
2;23854;1;1;1;45
2;23854;1;1;1;48
2;23854;1;1;1;49
2;23854;1;3;1;41
2;23854;1;0;1;50
2;23854;1;2;0;47
2;23854;1;3;1;54
2;23854;1;3;0;46
2;23854;1;3;1;51
2;23854;1;3;1;57
2;23854;1;2;0;52
2;23854;1;3;1;58
2;23854;1;0;1;58
2;23854;1;1;0;49
2;23854;1;1;0;53
2;23854;1;1;1;55
2;23854;1;0;1;51
2;23854;1;0;0;58
2;23854;1;2;1;58
2;23854;1;1;1;67
2;23854;1;1;1;65
2;23854;1;3;1;66
2;23854;1;1;0;62
2;23854;1;3;0;65
2;23854;1;2;0;65
2;23854;1;1;0;70
2;23854;1;0;0;71
2;23854;1;3;1;69
2;23854;1;2;0;72
2;23854;1;3;1;71
2;23854;1;2;0;75
2;23854;1;1;0;78
2;23854;1;1;1;78
2;23854;1;2;1;76
2;23854;1;1;1;72
2;23854;1;0;1;78
2;23854;1;1;1;81
2;23854;1;1;1;80
2;23854;1;0;0;85
2;23854;1;2;1;75
2;23854;1;3;1;83
2;23854;1;0;0;86
2;23854;1;2;1;87
2;23854;1;3;1;83
2;23854;1;2;1;84
2;23854;1;0;1;83
2;23854;1;2;1;86
2;23854;1;2;1;87
2;23854;1;0;1;86
2;23854;1;1;1;84
2;23854;1;1;1;92
2;23854;1;2;0;96
2;23854;1;0;1;95
2;23854;1;1;0;93
2;23854;1;0;1;94
2;23854;1;1;1;97
2;23854;1;1;1;99
2;23854;1;1;1;100
2;23854;1;2;1;103
2;23854;1;2;1;95
2;23854;1;3;1;96
2;23854;1;2;1;105
2;23854;1;0;0;108
2;23854;1;1;0;103
2;23854;1;0;0;109
2;23854;1;2;1;112
2;23854;1;3;0;107
2;23854;1;2;1;112
2;23854;1;1;0;112
2;23854;1;1;0;114
2;23854;1;0;1;111
2;23854;1;3;0;115
2;23854;1;2;1;118
2;23854;1;2;0;116
2;23854;1;0;0;119
2;23854;1;0;1;116
2;23854;1;0;0;121
2;23854;1;1;0;112
2;23854;1;0;0;121
2;23854;1;2;1;124
2;23854;1;2;0;122
2;23854;1;0;0;121
2;23854;1;1;0;119
2;23854;1;2;1;132
2;23854;1;0;0;119
2;23854;1;3;1;134
2;23854;1;1;0;128
2;23854;1;3;1;129
2;23854;1;3;1;137
2;23854;1;1;0;131
2;23854;1;3;0;125
2;23854;1;3;1;137
2;23854;1;3;1;141
2;23854;1;2;1;148
2;23854;1;0;1;144
2;23854;1;3;1;138
2;23854;1;3;0;138
2;23854;1;2;0;138
2;23854;1;3;1;144
2;23854;1;3;0;134
2;23854;1;3;0;137
2;23854;1;3;1;157
2;23854;1;1;0;142
2;23854;1;1;0;143
2;23854;1;3;1;149
2;23854;1;3;1;164
2;23854;1;0;1;149
2;23854;1;0;1;147
2;23854;1;0;0;150
2;23854;1;3;1;155
2;23854;1;1;1;165
2;23854;1;3;1;151
2;23854;1;0;0;152
3;17297;1;0;0;17
3;17297;1;3;0;16
3;17297;1;2;1;11
3;17297;1;1;1;18
3;17297;1;1;1;19
3;17297;1;3;0;20
3;17297;1;1;1;21
3;17297;1;1;0;11
3;17297;1;1;0;22
3;17297;1;2;1;22
3;17297;1;3;1;25
3;17297;1;2;1;17
3;17297;1;0;1;23
3;17297;1;0;0;25
3;17297;1;2;0;28
3;17297;1;3;0;27
3;17297;1;1;0;26
3;17297;1;2;0;22
3;17297;1;2;1;32
3;17297;1;1;1;24
3;17297;1;1;0;32
3;17297;1;0;1;34
3;17297;1;3;1;36
3;17297;1;1;0;34
3;17297;1;1;1;35
3;17297;1;0;0;37
3;17297;1;3;1;38
3;17297;1;2;1;39
3;17297;1;0;1;41
3;17297;1;1;0;39
3;17297;1;2;1;44
3;17297;1;0;1;39
3;17297;1;0;0;40
3;17297;1;3;1;45
3;17297;1;1;1;45
3;17297;1;0;1;46
3;17297;1;1;1;46
3;17297;1;3;0;49
3;17297;1;3;0;49
3;17297;1;1;1;50
3;17297;1;0;0;50
3;17297;1;2;0;50
3;17297;1;2;0;50
3;17297;1;0;1;55
3;17297;1;1;0;55
3;17297;1;1;1;53
3;17297;1;3;1;61
3;17297;1;2;1;50
3;17297;1;2;0;59
3;17297;1;2;1;59
3;17297;1;3;1;55
3;17297;1;0;0;60
3;17297;1;3;1;64
3;17297;1;0;0;63
3;17297;1;0;1;68
3;17297;1;0;1;66
3;17297;1;1;1;69
3;17297;1;3;0;66
3;17297;1;0;0;67
3;17297;1;2;0;63
3;17297;1;3;0;70
3;17297;1;1;1;73
3;17297;1;2;1;73
3;17297;1;0;0;69
3;17297;1;3;1;75
3;17297;1;0;0;75
3;17297;1;2;0;75
3;17297;1;3;1;77
3;17297;1;1;1;80
3;17297;1;1;0;76
3;17297;1;2;1;83
3;17297;1;3;0;81
3;17297;1;1;0;77
3;17297;1;2;0;81
3;17297;1;1;0;81
3;17297;1;0;1;85
3;17297;1;3;0;85
3;17297;1;0;0;82
3;17297;1;2;1;89
3;17297;1;3;0;91
3;17297;1;0;0;89
3;17297;1;1;1;93
3;17297;1;2;0;87
3;17297;1;1;1;92
3;17297;1;2;0;89
3;17297;1;3;0;101
3;17297;1;0;1;95
3;17297;1;2;1;92
3;17297;1;0;1;100
3;17297;1;0;1;95
3;17297;1;1;0;105
3;17297;1;0;1;97
3;17297;1;1;1;106
3;17297;1;3;1;101
3;17297;1;2;1;106
3;17297;1;0;0;104
3;17297;1;0;0;110
3;17297;1;1;0;112
3;17297;1;0;0;102
3;17297;1;1;1;110
3;17297;1;1;0;109
3;17297;1;1;1;110
3;17297;1;3;0;105
3;17297;1;2;1;109
3;17297;1;0;0;118
3;17297;1;0;0;110
3;17297;1;0;1;117
3;17297;1;3;1;117
3;17297;1;2;0;122
3;17297;1;3;0;122
3;17297;1;3;1;123
3;17297;1;0;1;126
3;17297;1;1;0;118
3;17297;1;2;0;128
3;17297;1;2;1;125
3;17297;1;1;0;129
3;17297;1;1;0;128
3;17297;1;1;1;130
3;17297;1;0;1;129
3;17297;1;0;0;133
3;17297;1;1;0;135
3;17297;1;3;0;135
3;17297;1;2;1;143
3;17297;1;0;1;147
3;17297;1;0;1;144
3;17297;1;3;1;146
3;17297;1;2;1;140
3;17297;1;3;1;139
3;17297;1;2;1;142
3;17297;1;3;0;143
3;17297;1;0;0;133
3;17297;1;2;0;140
3;17297;1;1;1;147
3;17297;1;3;1;147
3;17297;1;0;0;140
3;17297;1;0;1;155
3;17297;1;2;1;140
3;17297;1;2;0;145
3;17297;1;2;1;154
3;17297;1;0;1;152
3;17297;1;1;1;160
3;17297;1;1;1;150
3;17297;1;0;0;155
